,Playlist Title,DJ ID,DJ Name,Date,Time,Artist,Song,Release,New,Local,Genre,Label,UPC,artistBB,songBB
32428,"WRUV 1/1/24, 12:00 AM",64581,Program Director,2024-01-01,12:00:43 AM,Darian Stavans,Ballad,Jazzy´Blue,0,0,,Gamma Music,3614975638686,0,0
32429,"WRUV 1/1/24, 12:00 AM",64581,Program Director,2024-01-01,12:03:25 AM,Mack Fields,I Like to Yodel,"Cults Hits Novelty Classics, Vol. 1",0,0,World,Fervor Records,843041058056,0,0
32430,"WRUV 1/1/24, 12:00 AM",64581,Program Director,2024-01-01,12:05:48 AM,Real Estate,Water Underground,Water Underground,0,0,,MERLIN - Domino Recording Co,887829139186,0,0
32431,"WRUV 1/1/24, 12:00 AM",64581,Program Director,2024-01-01,12:09:14 AM,My Morning Jacket,Feelin Sorry,Feelin Sorry,0,0,,ATO Records / Fontana North,880882586959,0,0
32432,"WRUV 1/1/24, 12:00 AM",64581,Program Director,2024-01-01,12:12:02 AM,Joni Mitchell,A Case of You (feat. Marcus Mumford),"A Case of You (feat. Marcus Mumford) (Live at the Newport Folk Festival, Newport, RI, 7/24/2022)",0,0,,Rhino (Pure),603497832095,1,0
32433,"WRUV 1/1/24, 12:00 AM",64581,Program Director,2024-01-01,12:16:52 AM,Echo Conscious,Daughter,Emotional Patterns,0,0,Electronic,Harmonious Discord,853566497452,0,0
32434,"WRUV 1/1/24, 12:00 AM",64581,Program Director,2024-01-01,12:20:05 AM,Joanna Newsom,Anecdotes,Divers,0,0,Folk,MERLIN - Drag City Records,781484056126,0,0
32435,"WRUV 1/1/24, 12:00 AM",64581,Program Director,2024-01-01,12:26:43 AM,Cherushii,Nobody's Fool (Vocal Version),Cherushii & Maria Minerva,0,0,Electronic,ORCHARD - 100% Silk,647603403724,0,0
32436,"WRUV 1/1/24, 12:00 AM",64581,Program Director,2024-01-01,12:33:20 AM,Phoebe Bridgers,Sidelines,Sidelines,0,0,,MERLIN - Dead Oceans,656605162263,1,0
32437,"WRUV 1/1/24, 12:00 AM",64581,Program Director,2024-01-01,12:37:37 AM,Devon Gilfillian,All I Really Wanna Do,All I Really Wanna Do,0,0,,UMG - Fantasy Records,00888072516342,0,0
32438,"WRUV 1/1/24, 12:00 AM",64581,Program Director,2024-01-01,12:41:17 AM,The Wolf in Our Own Backyard,Maryanne,Maryanne,0,0,,2045846 Records DK,195755051343,0,0
32439,"WRUV 1/1/24, 12:00 AM",64581,Program Director,2024-01-01,12:45:06 AM,Yeah Yeah Yeahs,Spitting Off the Edge of the World,Spitting Off the Edge of the World,0,0,,MERLIN - Secretly Canadian,617308030679,1,0
32440,"WRUV 1/1/24, 12:00 AM",64581,Program Director,2024-01-01,12:49:22 AM,A Box of Stars,Frankie is Alive,Somethinghood,0,0,Folk,Self Release,197814144652,0,0
32441,"WRUV 1/1/24, 12:00 AM",64581,Program Director,2024-01-01,12:53:21 AM,Joyce,Banana,Visions of Dawn,0,0,,BELIEVE - Far Out Recordings,3614595014105,0,0
32442,"WRUV 1/1/24, 12:00 AM",64581,Program Director,2024-01-01,12:59:12 AM,Alexandre Navarro,Cold Avenues,Lost Cities,0,0,,Dronarivm,730003881602,0,0
32443,"WRUV 1/1/24, 1:00 AM",64581,Program Director,2024-01-01,1:00:00 AM,Juliana Hatfield,Don't Bring Me Down,Don't Bring Me Down,0,0,Rock,American Laundromat Records,616011914863,0,0
32444,"WRUV 1/1/24, 1:00 AM",64581,Program Director,2024-01-01,1:04:01 AM,MUNA,Anything But Me,Anything But Me,0,0,,MERLIN - Dead Oceans,617308026580,0,0
32445,"WRUV 1/1/24, 1:00 AM",64581,Program Director,2024-01-01,1:07:42 AM,Christopher McBride,"Stand Your Ground, Pt. 1 (Suspicion)",Ramon,0,0,Jazz,DISTROKID,197547219887,0,0
32446,"WRUV 1/1/24, 1:00 AM",64581,Program Director,2024-01-01,1:15:01 AM,Joy Oladokun,We’re All Gonna Die (with Noah Kahan),We’re All Gonna Die,0,0,,UMG - Joy Oladokun,602455280800,0,0
32447,"WRUV 1/1/24, 1:00 AM",64581,Program Director,2024-01-01,1:16:44 AM,Poolside,Each Night,Each Night,0,0,Electronic,MERLIN - Counter Records,5054429175134,0,0
32448,"WRUV 1/1/24, 1:00 AM",64581,Program Director,2024-01-01,1:19:43 AM,Miloe,Winona (with Jamila Woods and Vagabon),Winona (with Jamila Woods and Vagabon),0,0,,MERLIN - things we like,5056495275763,0,0
32449,"WRUV 1/1/24, 1:00 AM",64581,Program Director,2024-01-01,1:22:50 AM,Gerry Gibbs & Thrasher People,We Live in Brooklyn Baby/Everybody Loves the Sunshine,Family,0,0,Jazz,MERLIN - Whaling City Sound,687606013827,0,0
32450,"WRUV 1/1/24, 1:00 AM",64581,Program Director,2024-01-01,1:29:17 AM,Leon Lee Dorsey,Cantaloupe Island,Cantaloupe Island,0,0,Jazz,Jazz Avenue 1,195269216177,0,0
32451,"WRUV 1/1/24, 1:00 AM",64581,Program Director,2024-01-01,1:35:07 AM,"Harry ""The Hipster"" Gibson",Who Put The Benzedrine In Mrs. Murphy's Ovaltine?,Reefer Jazz & Blues,0,0,Jazz,Master Classics Records,884385950781,0,0
32452,"WRUV 1/1/24, 1:00 AM",64581,Program Director,2024-01-01,1:38:15 AM,Claud,It’s Not About You,It's Not About You,0,0,,MERLIN - Dead Oceans,617308032031,0,0
32453,"WRUV 1/1/24, 1:00 AM",64581,Program Director,2024-01-01,1:41:31 AM,Supershy,Keep It Rising,Happy Music,0,0,Electronic,ORCHARD - Beyond The Groove,197189579097,0,0
32454,"WRUV 1/1/24, 1:00 AM",64581,Program Director,2024-01-01,1:44:46 AM,"Elvis Costello, Burt Bacharach",Look Up Again,The Songs Of Bacharach & Costello - Super Deluxe,0,0,,UMe/Elvis Costello,,1,0
32455,"WRUV 1/1/24, 1:00 AM",64581,Program Director,2024-01-01,1:50:01 AM,Phil Cohen,Monday Best,Monday Best,0,0,Rock,Park Hill Records,198089202252,0,0
32456,"WRUV 1/1/24, 1:00 AM",64581,Program Director,2024-01-01,1:55:28 AM,Sorry,Closer,Closer,0,0,,Domino Recording Co,887828049363,0,0
32457,"WRUV 1/1/24, 1:00 AM",64581,Program Director,2024-01-01,1:57:55 AM,tetreault,Cumulo (Requiem),Fractals (Requiem),0,0,,2714756 Records DK,195938317747,0,0
32458,"WRUV 1/1/24, 2:00 AM",64581,Program Director,2024-01-01,2:00:35 AM,Lavenderlux,Enjoy Your Dream,Enjoy Your Dream,0,0,Rock,Orange Store Records,198087305474,0,0
32459,"WRUV 1/1/24, 2:00 AM",64581,Program Director,2024-01-01,2:03:25 AM,Nicola Conte,Dance Of Love And Peace (Part 1),Umoja,0,0,,BELIEVE - Far Out Recordings,3617220528039,0,0
32460,"WRUV 1/1/24, 2:00 AM",64581,Program Director,2024-01-01,2:07:20 AM,Willverine,Amy Winehouse,Amy Winehouse,0,0,R&B/Soul,DISTROKID - Willverine Music,196832213401,0,0
32461,"WRUV 1/1/24, 2:00 AM",64581,Program Director,2024-01-01,2:10:47 AM,Billy Childs,The Great Western Loop,The Winds of Change,0,0,Jazz,ORCHARD - Mack Avenue Records,673203120068,0,0
32462,"WRUV 1/1/24, 2:00 AM",64581,Program Director,2024-01-01,2:17:07 AM,Carlos Ward,'Nette,"Blackwell, Ed: Ed Blackwell Project, Vol. 1",0,0,Classical,Enja,63757708926,0,0
32463,"WRUV 1/1/24, 2:00 AM",64581,Program Director,2024-01-01,2:25:41 AM,Color Channel,Gough Rd,Gough Rd,0,0,Rock,JUSTANCE,859773734205,0,0
32464,"WRUV 1/1/24, 2:00 AM",64581,Program Director,2024-01-01,2:29:35 AM,Young Fathers,Geronimo,Geronimo,0,0,,MERLIN - Ninja Tune,5054429158823,0,0
32465,"WRUV 1/1/24, 2:00 AM",64581,Program Director,2024-01-01,2:33:06 AM,Michael Chorney,Ephrata,Ephrata,0,0,,3868474 Records DK,197544875253,0,0
32466,"WRUV 1/1/24, 2:00 AM",64581,Program Director,2024-01-01,2:38:26 AM,Eden Ben Zaken,Ba Li Od,Taamin Li,0,0,,Eden Ben Zaken,7294276308240,0,0
32467,"WRUV 1/1/24, 2:00 AM",64581,Program Director,2024-01-01,2:41:50 AM,Pierre Kwenders,Church (Likambo),José Louis And The Paradox Of Love,0,0,World,UMG - Arts & Crafts Productions Inc.,00827590205123,0,0
32468,"WRUV 1/1/24, 2:00 AM",64581,Program Director,2024-01-01,2:45:41 AM,Fabiano do Nascimento,Etude 1,Etude 1,0,0,,BELIEVE - Far Out Recordings,3617227835857,0,0
32469,"WRUV 1/1/24, 2:00 AM",64581,Program Director,2024-01-01,2:48:03 AM,Community Breakfast,Novocaine,The Landscape Is the Only Thing That Never Changes,0,0,,Community Sound,198087830761,0,0
32470,"WRUV 1/1/24, 2:00 AM",64581,Program Director,2024-01-01,2:51:55 AM,Pierre Kwenders,Heartbeat,Heartbeat,0,0,World,UMG - Arts & Crafts Productions Inc.,0827590772250,0,0
32471,"WRUV 1/1/24, 2:00 AM",64581,Program Director,2024-01-01,2:55:00 AM,EVM128,Gamma Riddim - Alex Phountzi Remix,Gamma Riddim Remixes,0,0,Electronic,CoOp Presents,5050580812895,0,0
32472,"WRUV 1/1/24, 3:00 AM",64581,Program Director,2024-01-01,3:00:47 AM,Coco & Clair Clair,Love Me,Love Me,0,0,,Nice Girl World via Alternate Side and Many Hats Distribution,8720765042863,0,0
32473,"WRUV 1/1/24, 3:00 AM",64581,Program Director,2024-01-01,3:03:08 AM,Hannah Jadagu,What You Did,What You Did,0,0,,Subpop Record Group,098787906394,0,0
32474,"WRUV 1/1/24, 3:00 AM",64581,Program Director,2024-01-01,3:06:08 AM,Esther Rose,Chet Baker,Chet Baker,0,0,Folk,"MERLIN - New West Records, LLC",607396654734,0,0
32475,"WRUV 1/1/24, 3:00 AM",64581,Program Director,2024-01-01,3:10:26 AM,Rahill,Fables,Fables,0,0,,Big Dada,5054429174588,0,0
32476,"WRUV 1/1/24, 3:00 AM",64581,Program Director,2024-01-01,3:13:56 AM,Madi Diaz,Same Risk,Same Risk,0,0,,MERLIN - Anti/Epitaph,0045778799800,0,0
32477,"WRUV 1/1/24, 3:00 AM",64581,Program Director,2024-01-01,3:17:24 AM,Meridian Brothers,Descarga profética,Meridian Brothers & El Grupo Renacimiento,0,0,,Ansonia Records,196922050084,0,0
32478,"WRUV 1/1/24, 3:00 AM",64581,Program Director,2024-01-01,3:22:38 AM,PACKS,4th of July,4th of July,0,0,,MERLIN - Fire Talk,634457121614,0,0
32479,"WRUV 1/1/24, 3:00 AM",64581,Program Director,2024-01-01,3:25:38 AM,Hurray For The Riff Raff,Alibi,Alibi,0,0,,"Hurray For The Riff Raff, LLC",075597902600,0,0
32480,"WRUV 1/1/24, 3:00 AM",64581,Program Director,2024-01-01,3:28:24 AM,Kiwi jr.,Night Vision,Night Vision,0,0,,WMG - Subpop Record Group,098787904857,0,0
32481,"WRUV 1/1/24, 3:00 AM",64581,Program Director,2024-01-01,3:31:46 AM,Alternate Skies,Our Current Local Conditions,24 Hour Forecast,0,0,,Tracking Waves,8720205369369,0,0
32482,"WRUV 1/1/24, 3:00 AM",64581,Program Director,2024-01-01,3:33:12 AM,Harold Mabern,Dahomey Dance,Mabern Plays Coltrane,0,0,Jazz,ORCHARD - Smoke Sessions,196292485837,0,0
32483,"WRUV 1/1/24, 3:00 AM",64581,Program Director,2024-01-01,3:39:49 AM,Phi-Psonics,An Offering,An Offering,0,0,,MERLIN - Gondwana Records,5050580794726,0,0
32484,"WRUV 1/1/24, 3:00 AM",64581,Program Director,2024-01-01,3:40:24 AM,Tunico,Galope,Galope,0,0,,BELIEVE - Far Out Recordings,3617052477406,0,0
32485,"WRUV 1/1/24, 3:00 AM",64581,Program Director,2024-01-01,3:47:30 AM,Kokoroko,Ewà Inú,Could We Be More,0,0,Jazz,WMG - Brownswood Recordings,5060180325343,0,0
32486,"WRUV 1/1/24, 3:00 AM",64581,Program Director,2024-01-01,3:54:09 AM,Charles Earland,Mason's Galaxy,Leaving This Planet,0,0,Jazz,UMG - Prestige,00888072394889,0,0
32487,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:02:17 AM,Sonmi451,Outer Shell,Nachtmuziek,0,0,,MERLIN - Astral Industries,8718723120159,0,0
32488,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:09:00 AM,Damien Jurado,Lou-Jean,The Horizon Just Laughed,0,0,,Secretly Canadian,656605036564,0,0
32489,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:12:46 AM,Stephen Sanchez,Evangeline,Evangeline,0,0,,Republic Records,00602455117748,0,0
32490,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:15:44 AM,Les Baxter,Atlantis - 1996 Digital Remaster,Ultra-Lounge/Mondo Exotica: Volume One,0,0,,UMG - EMI,00602448226051,0,0
32491,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:17:59 AM,Damien Jurado,The Last Great Washington State,The Horizon Just Laughed,0,0,,Secretly Canadian,656605036564,0,0
32492,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:24:15 AM,Dolly Parton,World On Fire,World On Fire,0,0,Rock,UMG - Big Machine,00843930095278,1,0
32493,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:28:35 AM,Tall Travis,Alley-Oh,Chicken Music,0,0,Folk,Travis Records,198015325147,0,0
32494,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:31:43 AM,Stromae,carmen,40 Hits Spring 2015,0,0,World,Mercury/ DEP,602537502295,0,0
32495,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:34:49 AM,Acusmatic Group,Fish Food,Pilot,0,0,,Irma Records,8056737604686,0,0
32496,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:41:33 AM,Donald Harrison,The Magic Touch,"""3D"" Vol.1",0,0,Jazz,fomp records,824837507927,0,0
32497,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:47:57 AM,Mitski,My Love Mine All Mine,The Land Is Inhospitable and So Are We,0,0,,MERLIN - Dead Oceans,656605165066,0,0
32498,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:50:15 AM,Rupert Cox,Fig Tree,Search Party,0,0,,Albert's Favourites,,0,0
32499,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:53:53 AM,Hot Chip,Fire of Mercy,Fire of Mercy,0,0,,Domino Recording Co,887829137069,0,0
32500,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:58:12 AM,Margaux,Eyes On You (Rock / Metal Remix),Eyes On You (Rock / Metal Remix),0,0,Electronic,WebMusic,5051813466113,0,0
32501,"WRUV 1/1/24, 4:02 AM",64581,Program Director,2024-01-01,4:59:09 AM,Mason Jennings,Only Lovers Welcome,Underneath The Roses,0,0,Folk,Loosegroove Records Inc.,197187956135,0,0
32502,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:02:46 AM,Taj Mahal,Gee Baby Ain't I Good To You,Gee Baby Ain't I Good To You,0,0,Rock,Stony Plain Records,772532147620,0,0
32503,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:06:34 AM,Jack Johnson,Don't Look Now,Meet The Moonlight,0,0,Rock,Brushfire / Republic Records,00602445753949,1,0
