,Playlist Title,DJ ID,DJ Name,Date,Time,Artist,Song,Release,New,Local,Genre,Label,UPC,artistBB
32428,"WRUV 1/1/24, 12:00 AM",64581,Program Director,2024-01-01,12:00:43 AM,Darian Stavans,Ballad,Jazzy´Blue,,,,Gamma Music,3614975638686,0
32429,"WRUV 1/1/24, 12:00 AM",64581,Program Director,2024-01-01,12:03:25 AM,Mack Fields,I Like to Yodel,"Cults Hits Novelty Classics, Vol. 1",,,World,Fervor Records,843041058056,0
32430,"WRUV 1/1/24, 12:00 AM",64581,Program Director,2024-01-01,12:05:48 AM,Real Estate,Water Underground,Water Underground,,,,MERLIN - Domino Recording Co,887829139186,0
32431,"WRUV 1/1/24, 12:00 AM",64581,Program Director,2024-01-01,12:09:14 AM,My Morning Jacket,Feelin Sorry,Feelin Sorry,,,,ATO Records / Fontana North,880882586959,0
32432,"WRUV 1/1/24, 12:00 AM",64581,Program Director,2024-01-01,12:12:02 AM,Joni Mitchell,A Case of You (feat. Marcus Mumford),"A Case of You (feat. Marcus Mumford) (Live at the Newport Folk Festival, Newport, RI, 7/24/2022)",,,,Rhino (Pure),603497832095,1
32433,"WRUV 1/1/24, 12:00 AM",64581,Program Director,2024-01-01,12:16:52 AM,Echo Conscious,Daughter,Emotional Patterns,,,Electronic,Harmonious Discord,853566497452,0
32434,"WRUV 1/1/24, 12:00 AM",64581,Program Director,2024-01-01,12:20:05 AM,Joanna Newsom,Anecdotes,Divers,,,Folk,MERLIN - Drag City Records,781484056126,0
32435,"WRUV 1/1/24, 12:00 AM",64581,Program Director,2024-01-01,12:26:43 AM,Cherushii,Nobody's Fool (Vocal Version),Cherushii & Maria Minerva,,,Electronic,ORCHARD - 100% Silk,647603403724,0
32436,"WRUV 1/1/24, 12:00 AM",64581,Program Director,2024-01-01,12:33:20 AM,Phoebe Bridgers,Sidelines,Sidelines,,,,MERLIN - Dead Oceans,656605162263,1
32437,"WRUV 1/1/24, 12:00 AM",64581,Program Director,2024-01-01,12:37:37 AM,Devon Gilfillian,All I Really Wanna Do,All I Really Wanna Do,,,,UMG - Fantasy Records,00888072516342,0
32438,"WRUV 1/1/24, 12:00 AM",64581,Program Director,2024-01-01,12:41:17 AM,The Wolf in Our Own Backyard,Maryanne,Maryanne,,,,2045846 Records DK,195755051343,0
