,Playlist Title,DJ ID,DJ Name,Date,Time,Artist,Song,Release,New,Local,Genre,Label,UPC,artistBB,songBB,danceability,energy,key,loudness,mode,speechiness,acousticness,instruemtnalness,liveness,valence,tempo,duration_ms
35043,"WRUV 1/9/24, 4:02 AM",64581,Program Director,2024-01-09,4:57:00 AM,Charles Kreamer,Pump It!,Rock it!,0,0,,Various Artists,885767691421,0,0,,,,,,,,,,,,
35044,"WRUV 1/9/24, 4:02 AM",64581,Program Director,2024-01-09,4:59:45 AM,Margaux,Eyes On You (Rock / Metal Remix),Eyes On You (Rock / Metal Remix),0,0,Electronic,WebMusic,5051813466113,0,0,0.541,0.806,0.806,-7.257,1.0,0.0416,2.23e-05,0.778,0.0644,0.737,114.204,134750.0
35045,"WRUV 1/9/24, 5:00 AM",64581,Program Director,2024-01-09,5:00:27 AM,Piles of Smiles,Blood Blister,Seven Pillars of Shame,0,0,Rock,5153435 Records DK,197727263655,0,0,,,,,,,,,,,,
35046,"WRUV 1/9/24, 5:00 AM",64581,Program Director,2024-01-09,5:04:11 AM,Rahill,Fables,Fables,0,0,,Big Dada,5054429174588,0,0,,,,,,,,,,,,
35047,"WRUV 1/9/24, 5:00 AM",64581,Program Director,2024-01-09,5:07:38 AM,St. Paul & The Broken Bones,Sea Star,Sea Star,0,0,R&B/Soul,ATO Records / Fontana North,880882558956,0,0,,,,,,,,,,,,
35048,"WRUV 1/9/24, 5:00 AM",64581,Program Director,2024-01-09,5:11:04 AM,FOZ.,all too slow,Gardening Gloves,0,0,Hip Hop/Rap,Bedroom Recordings,195334892275,0,0,,,,,,,,,,,,
35049,"WRUV 1/9/24, 5:00 AM",64581,Program Director,2024-01-09,5:14:46 AM,Theo Croker,SLOWLY (feat. Ego Ella May & D'LEAU),BY THE WAY (feat. Ego Ella May & D'LEAU),0,0,Jazz,SME - Masterworks,196589387752,0,0,,,,,,,,,,,,
35050,"WRUV 1/9/24, 5:00 AM",64581,Program Director,2024-01-09,5:17:49 AM,The Go! Team,Ladyflash,"Thunder, Lightning, Strike",0,0,,Memphis Industries,5024545371383,0,0,0.562,0.959,0.959,-5.287,1.0,0.0544,0.000279,0.572,0.17,0.709,115.405,256027.0
35051,"WRUV 1/9/24, 5:00 AM",64581,Program Director,2024-01-09,5:22:02 AM,Supershy,Take My Time,Change / Take My Time,0,0,Electronic,MERLIN - Beyond The Groove,5056167174363,0,0,,,,,,,,,,,,
35052,"WRUV 1/9/24, 5:00 AM",64581,Program Director,2024-01-09,5:27:25 AM,Pachyman,Trago Coqueto,Trago Coqueto,0,0,Reggae,ATO Records,880882588151,0,0,0.772,0.918,0.918,-5.944,1.0,0.0686,0.158,0.887,0.0212,0.93,90.973,182533.0
35053,"WRUV 1/9/24, 5:00 AM",64581,Program Director,2024-01-09,5:30:26 AM,Veronica Swift,I'm Always Chasing Rainbows,Veronica Swift,0,0,Jazz,ORCHARD - Mack Avenue Records,673203120266,0,0,,,,,,,,,,,,
35054,"WRUV 1/9/24, 5:00 AM",64581,Program Director,2024-01-09,5:33:56 AM,Lagartijeando,As Mortes das Matas,Jallalla,0,0,Electronic,Wonderwheel Recordings,192641298226,0,0,0.633,0.754,0.754,-11.352,0.0,0.207,0.0489,0.827,0.0887,0.427,199.926,279776.0
35055,"WRUV 1/9/24, 5:00 AM",64581,Program Director,2024-01-09,5:38:33 AM,Beck,Thinking About You,Thinking About You,0,0,,UMG - Capitol Records (CAP),00602448846785,1,0,,,,,,,,,,,,
