,Unnamed: 0,Playlist Title,DJ ID,DJ Name,Date,Time,Artist,Song,Release,New,Local,Genre,Label,UPC,artistBB,songBB,danceability,energy,key,loudness,mode,speechiness,acousticness,instruemtnalness,liveness,valence,tempo,duration_ms
100,32528,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:52:10 AM,Vagabon,Carpenter,Carpenter,0,0,,"Vagabon Music, LLC",075597905151,0,0,,,,,,,,,,,,
101,32529,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:55:31 AM,Genesis Owusu,Tied Up!,Tied Up!,0,0,Hip Hop/Rap,ORCHARD - Ourness,197188874469,0,0,,,,,,,,,,,,
102,32530,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:59:37 AM,Yaya Bey,exodus the north star,exodus the north star,0,0,R&B/Soul,Big Dada,5054429173383,0,0,0.6,0.323,0.323,-10.311,0.0,0.107,0.335,0.0,0.0902,0.237,75.858,205355.0
103,32531,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,7:03:04 AM,Pachyman,Lovers,Switched-On,0,0,Reggae,ATO Records,880882588151,0,0,,,,,,,,,,,,
104,32532,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,7:06:39 AM,Buck Clayton,Way Down Yonder in New Orleans,If Dreams Come True,0,0,Jazz,Synergie OMP,888002911285,0,0,,,,,,,,,,,,
105,32533,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,7:13:19 AM,Yeah Yeah Yeahs,Wolf,Cool It Down,0,0,,MERLIN - Secretly Canadian,656605047065,1,0,,,,,,,,,,,,
106,32534,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,7:16:56 AM,Beach House,Become,Become,0,0,,Subpop Record Group,098787154566,0,0,,,,,,,,,,,,
107,32535,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,7:22:57 AM,Laura Gibson,The Carob Trees,The Carob Trees (Single),0,0,Rock,Barsuk Records,887845167156,0,0,,,,,,,,,,,,
108,32536,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,7:31:44 AM,Tanlines,Outer Banks,Outer Banks,0,0,,MERLIN - Merge Records,673855082820,0,0,,,,,,,,,,,,
109,32537,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,7:34:54 AM,Rupert Cox,Search Party,Search Party,0,0,,BELIEVE - Albert's Favourites,3617227709530,0,0,,,,,,,,,,,,
110,32538,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,7:37:30 AM,Winter,sunday,sunday,0,0,,MERLIN - Bar/None Records,032862910968,0,0,,,,,,,,,,,,
111,32539,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,7:41:52 AM,Guthrie Galileo,Black Porcelain,The Angels Will Never Wear White Again,0,0,,DISTROKID,198087431555,0,0,,,,,,,,,,,,
112,32540,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,7:45:41 AM,Lael Neale,I'll Be Your Star,I'll Be Your Star,0,0,,Subpop Record Group,098787161465,0,0,,,,,,,,,,,,
113,32541,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,7:49:27 AM,Chicago Soul Jazz Collective,Nothing good ever goes away,On the Way to be Free,0,0,Jazz,JMARQ Records,195729365841,0,0,0.476,0.719,0.719,-8.882,1.0,0.0381,0.466,0.866,0.0738,0.747,174.903,319467.0
114,32542,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,7:54:45 AM,Arooj Aftab,Baghon Main,Vulture Prince,0,0,World,MERLIN - New Amsterdam,798304485615,0,0,0.233,0.177,0.177,-15.162,1.0,0.0351,0.971,0.273,0.0911,0.106,90.168,404261.0
115,32543,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:02:12 AM,Skryabin,Коридори-нори,Стриптиз,0,0,Rock,ORCHARD - Kuzma Skryabin,190374664004,0,0,,,,,,,,,,,,
116,32544,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:06:09 AM,Junior Santos,Jari's,Conpambiche,0,0,,Junior Santos,195079389115,0,0,,,,,,,,,,,,
117,32545,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:09:37 AM,The National,Tropic Morning News,Tropic Morning News,0,0,,MERLIN - 4AD,5059638401678,0,0,0.565,0.818,0.818,-6.739,0.0,0.0308,0.0307,0.0123,0.0947,0.719,144.028,309400.0
118,32546,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:14:17 AM,ZZ Ward,Forget About Us,Forget About Us,0,0,,Dirty Shine Records,193436336352,0,0,,,,,,,,,,,,
119,32547,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:16:56 AM,Supershy,Take My Time,Change / Take My Time,0,0,Electronic,MERLIN - Beyond The Groove,5056167174363,0,0,,,,,,,,,,,,
120,32548,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:22:18 AM,The Allergies,Mash Up the Sound,Mash Up the Sound,0,0,,MERLIN - Jalapeno Records,3663729235824,0,0,0.591,0.904,0.904,-6.107,0.0,0.0298,2.04e-05,0.45,0.411,0.763,121.985,214852.0
121,32549,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:25:53 AM,Jack Black,Peaches,The Super Mario Bros. Movie (Original Motion Picture Soundtrack),0,0,,MERLIN - Back Lot Music,660251010427,0,0,,,,,,,,,,,,
122,32550,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:27:24 AM,The Dead Shakers,My Life,Some Shapes Reappear,0,0,Rock,DISTROKID - Sticky Shed Tapes,197047345116,0,0,,,,,,,,,,,,
123,32551,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:29:38 AM,Soema Montenegro,Selva,CIRCULO RADIANTE,0,0,,Mais Um,5050580812970,0,0,,,,,,,,,,,,
124,32552,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:32:55 AM,Cat Power,She Belongs To Me - Live at the Royal Albert Hall,She Belongs To Me / Ballad Of A Thin Man,0,0,Folk,MERLIN - Domino Recording Co,887829138561,0,0,0.511,0.338,0.338,-10.239,1.0,0.0387,0.797,7.83e-05,0.882,0.263,83.073,289453.0
125,32553,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:37:43 AM,Bo Dollis,Handa Wanda,30 Years & Still Wild,0,0,,Aim Trading Group,752211501226,0,0,,,,,,,,,,,,
126,32554,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:40:56 AM,Lee Konitz,Dreams,Spirits,0,0,Jazz,UMG - Fantasy Records,00025218702423,0,0,,,,,,,,,,,,
127,32555,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:46:09 AM,Sufjan Stevens,Fourth of July - April Base Version,Fourth of July,0,0,,Asthmatic Kitty,729920165506,0,0,0.648,0.173,0.173,-18.497,1.0,0.0398,0.994,0.00112,0.121,0.549,114.992,223201.0
128,32556,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:49:54 AM,Pachyman,Trago Coqueto,Trago Coqueto,0,0,Reggae,ATO Records,880882588151,0,0,0.772,0.918,0.918,-5.944,1.0,0.0686,0.158,0.887,0.0212,0.93,90.973,182533.0
129,32557,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:52:59 AM,Al Green,Perfect Day,Perfect Day,0,0,R&B/Soul,Fat Possum,197189362736,1,0,,,,,,,,,,,,
130,32558,Wake the DUCK Up! with DJ DUCK,160217,DJ Duck,2024-01-01,8:57:58 AM,Vince Clarke,The Lamentations of Jeremiah,The Lamentations of Jeremiah,0,0,Electronic,Mute (Artist Intelligence),5400863144593,0,0,0.149,0.251,0.251,-14.499,1.0,0.0361,0.718,0.896,0.115,0.0391,91.624,263979.0
131,32559,PB & Jam,160100,PBreezy,2024-01-01,9:02:22 AM,Astrocolor,Star Swing,Star Swing,0,0,Jazz,ORCHARD - Amelia Recordings,197187658701,0,0,,,,,,,,,,,,
132,32560,PB & Jam,160100,PBreezy,2024-01-01,9:05:55 AM,Levi Kz,In the Southern Skies,Do You Believe in Narwhals?,0,0,Rock,Levi Kz,198004816847,0,0,,,,,,,,,,,,
133,32561,PB & Jam,160100,PBreezy,2024-01-01,9:11:08 AM,Sunny War,No Reason,No Reason,0,0,Folk,"MERLIN - New West Records, LLC",607396653249,0,0,,,,,,,,,,,,
134,32562,PB & Jam,160100,PBreezy,2024-01-01,9:13:25 AM,Steven Bamidele,Kaleidoscope,Kaleidoscope,0,0,,BELIEVE - Tru Thoughts,5060609666217,0,0,,,,,,,,,,,,
135,32563,PB & Jam,160100,PBreezy,2024-01-01,9:17:06 AM,Yaeji,Done (Let’s Get It),Done (Let's Get It),0,0,Electronic,MERLIN - XL Recordings,5059638397964,0,0,,,,,,,,,,,,
