,Unnamed: 0,Playlist Title,DJ ID,DJ Name,Date,Time,Artist,Song,Release,New,Local,Genre,Label,UPC,artistBB,songBB,danceability,energy,key,loudness,mode,speechiness,acousticness,instruemtnalness,liveness,valence,tempo,duration_ms
11500,43929,Help! I'm Trapped In a Spaceship!,171934,DJ Cro,2024-02-04,10:14:17 PM,Fishmans,Sunny Blue,Kuuchuu Camp,0,0,Rock,Universal Music LLC,00602567908593,0,0,,,,,,,,,,,,
11501,43930,Help! I'm Trapped In a Spaceship!,171934,DJ Cro,2024-02-04,10:21:27 PM,J Mascis,Can’t Believe We're Here,Can't Believe We're Here,1,0,,Subpop Record Group,0098787160567,0,0,0.487,0.88,0.88,-5.062,1.0,0.042,0.0761,0.0387,0.354,0.569,135.971,238213.0
11502,43931,Help! I'm Trapped In a Spaceship!,171934,DJ Cro,2024-02-04,10:25:20 PM,The Fourth Wall,Darkness Of Heart,Darkness Of Heart,1,0,Rock,ORCHARD - DevilDuck Records,0197190489873,0,0,,,,,,,,,,,,
11503,43932,Help! I'm Trapped In a Spaceship!,171934,DJ Cro,2024-02-04,10:29:18 PM,The Smile,I Quit,Wall Of Eyes,1,0,,MERLIN - XL Recordings,5059638426374,0,0,,,,,,,,,,,,
11504,43933,Help! I'm Trapped In a Spaceship!,171934,DJ Cro,2024-02-04,10:34:45 PM,English Teacher,Albert Road,Albert Road,0,0,,Universal-Island Records Ltd.,00602458811025,0,0,0.574,0.296,0.296,-6.634,1.0,0.033,0.479,0.00556,0.316,0.0758,110.008,280202.0
11505,43934,Help! I'm Trapped In a Spaceship!,171934,DJ Cro,2024-02-04,10:39:20 PM,The Last Dinner Party,Sinner,Sinner,1,0,,UMG - Universal-Island Records Ltd.,0602455926272,0,0,,,,,,,,,,,,
11506,43935,Help! I'm Trapped In a Spaceship!,171934,DJ Cro,2024-02-04,10:45:43 PM,Jockstrap,Concrete Over Water,Concrete Over Water,0,0,,MERLIN - Rough Trade,5059638378802,0,0,0.318,0.375,0.375,-7.357,0.0,0.036,0.748,0.00132,0.42,0.0455,140.211,369880.0
11507,43936,Help! I'm Trapped In a Spaceship!,171934,DJ Cro,2024-02-04,10:51:52 PM,Water From Your Eyes,Everyone's Crushed,Everyone's Crushed,0,0,,MERLIN - Matador,5059638394697,0,0,,,,,,,,,,,,
11508,43937,Help! I'm Trapped In a Spaceship!,171934,DJ Cro,2024-02-04,10:55:52 PM,Model/Actriz,Crossing Guard,Crossing Guard,0,0,,UMG - True Panther/Virgin,00850045344290,0,0,0.503,0.925,0.925,-8.599,1.0,0.0955,0.00591,0.101,0.259,0.302,124.133,284880.0
11509,43938,Help! I'm Trapped In a Spaceship!,171934,DJ Cro,2024-02-04,11:00:35 PM,Folly Group,New Feature,Down There!,1,0,,So Young Records,5060998461165,0,0,,,,,,,,,,,,
11510,43939,Help! I'm Trapped In a Spaceship!,171934,DJ Cro,2024-02-04,11:06:07 PM,"They Are Gutting a Body of Water, Full Body 2",ador // ation,EPCOT,0,0,,Julia's War Recordings,,0,0,,,,,,,,,,,,
11511,43940,Help! I'm Trapped In a Spaceship!,171934,DJ Cro,2024-02-04,11:09:58 PM,Animal Ghosts,Swell,Swell,0,0,,MERLIN - Animal Ghosts,7333475673152,0,0,,,,,,,,,,,,
11512,43941,Help! I'm Trapped In a Spaceship!,171934,DJ Cro,2024-02-04,11:14:49 PM,Slowdive,Sing,Souvlaki,0,0,,SME - Sony Music UK,0886443117563,0,0,,,,,,,,,,,,
11513,43942,Help! I'm Trapped In a Spaceship!,171934,DJ Cro,2024-02-04,11:19:20 PM,Glixen,Sugarcube,Sugarcube,0,0,,Glixen,0196165327516,0,0,0.356,0.712,0.712,-9.384,0.0,0.0362,0.000555,0.892,0.0913,0.367,99.973,246256.0
11514,43943,Help! I'm Trapped In a Spaceship!,171934,DJ Cro,2024-02-04,11:26:36 PM,cowboyy,Tennis,Tennis,0,0,,Nice Swan Recordings,5051083190213,0,0,,,,,,,,,,,,
11515,43944,Help! I'm Trapped In a Spaceship!,171934,DJ Cro,2024-02-04,11:29:38 PM,Geese,Crusades,3D Country,0,0,,Partisan / Play It Again Sam,5400863090043,0,0,0.658,0.685,0.685,-7.708,1.0,0.0307,0.0701,0.0,0.128,0.57,110.907,158892.0
11516,43945,Help! I'm Trapped In a Spaceship!,171934,DJ Cro,2024-02-04,11:32:13 PM,shame,"Human, for a Minute",Drunk Tank Pink,0,0,,MERLIN - Dead Oceans,0656605150468,0,0,0.495,0.665,0.665,-7.643,0.0,0.0249,0.0201,0.582,0.0792,0.455,102.118,274400.0
11517,43946,Help! I'm Trapped In a Spaceship!,171934,DJ Cro,2024-02-04,11:36:43 PM,black midi,The Defence,Hellfire,0,0,,MERLIN - Rough Trade,5059638376419,0,0,0.427,0.601,0.601,-6.565,1.0,0.0359,0.152,3.63e-06,0.6,0.252,133.296,179307.0
